item_name|latitude|longitude|restaurant_name|item_description|price
Sausage, Egg & Cheese McGriddles®|35.911425|-78.936518|McDonald's|Soft, Warm Griddle Cakes With The Sweet Taste Of Maple Hold A Fluffy Folded Egg, Savory Sausage, And Melty American Cheese. For A Different Taste, Try It With Freshly Grilled Egg Whites And Smooth White Cheddar*. *Pasteurized Process|
Bacon, Egg & Cheese Bagel|35.911425|-78.936518|McDonald's|A Toasted Bagel With Real Butter Holds Thick-cut Applewood Smoked Bacon, A Fluffy Folded Egg, And Two Slices Of Melty American Cheese. For A Different Taste, Try It With Freshly Grilled Egg Whites And Smooth White Cheddar*. *Pasteurized Process|
Big Breakfast®|35.911425|-78.936518|McDonald's|Wake Up With A Warm Biscuit, Fluffy Scrambled Eggs, Savory Hot Sausage, And Crispy Golden Hash Browns. For A Different Taste, Try It With Freshly Grilled Egg Whites.|
Big Breakfast® with Hotcakes|35.911425|-78.936518|McDonald's|Fill Up With A Warm Biscuit, Savory Hot Sausage, Fluffy Scrambled Eggs, Crispy Hash Browns, And Golden Brown Hotcakes With A Side Of Real Butter And The Sweet Flavor Of Maple. For A Different Taste, Try It With Freshly Grilled Egg Whites.|
Hotcakes|35.911425|-78.936518|McDonald's||
Hotcakes and Sausage|35.911425|-78.936518|McDonald's||
Sausage Burrito|35.911425|-78.936518|McDonald's||
Hash Browns|35.911425|-78.936518|McDonald's||
Fruit & Maple Oatmeal|35.911425|-78.936518|McDonald's||
Chipotle Steak & Cheddar|35.961246|-78.959579|Quiznos|Steak & Cheddar with sautéed peppers & onions, and chipotle mayo on jalapeno cheddar bread|
Peppercorn Steak|35.961246|-78.959579|Quiznos|Peppercorn steak with mozzarella, sautéed onions, peppercorn sauce. Served on your choice of Artisan Breads: White, Wheat, Rosemary Parmesan or Jalapeno Cheddar|
Shroomalicious Steak|35.961246|-78.959579|Quiznos|Steak, mozzarella, sautéed onions, heaps of sautéed mushrooms, mayo|
Steak Bacon & Swiss|35.961246|-78.959579|Quiznos|Steak, bacon & swiss with sautéed onions, and mayo.|
Black Angus Steak|35.961246|-78.959579|Quiznos|Black Angus Steak, All-Natural Mozzarella & Cheddar, Sautéed Mushrooms & Onions, Honey Bourbon Mustard, Zesty Grille Sauce|
Classic Italian|35.961246|-78.959579|Quiznos|Ham, salami, pepperoni, capicola, mozzarella, black olives, lettuce, tomatoes, onions, Red Wine Vinaigrette|
Spicey Monterey|35.961246|-78.959579|Quiznos|Turkey, Ham, Mozzarella, Pickles, Lettuce, Tomatoes, Mayo, and Four Pepper Chili Sauce.|
The Traditional|35.961246|-78.959579|Quiznos|Roast beef, turkey, ham, cheddar, black olives, lettuce, tomatoes, onions, Ranch Dressing.|
Tuna|36.010251|-78.922001|Subway|Our tasty Tuna Sandwich is simply sumptuous. Flaked tuna, mixed with mayo, and your choice of fresh vegetables, this local favorite can be built to suit your craving.|
Veggie Guacamole|35.961246|-78.959579|Quiznos|Cheddar, Mozzarella, Guacamole, Choice of Veggies, Red Wine Vinaigrette.|
Honey Bacon Club|35.961246|-78.959579|Quiznos|Turkey, Ham, Bacon, Swiss, Lettuce, Tomatoes, Onions, and Honey-french Dressing.|
Honey Bourbon|35.961246|-78.959579|Quiznos|Tender, Oven-Roasted Bourbon Chicken, Lettuce, Tomatoes, Red Onions, Signature Honey Bourbon Mustard and Zesty Grilled Sauce|
Pesto Caesar|35.961246|-78.959579|Quiznos|Chicken served with Mozzarella, 3-cheese Blend, Seasonal Greens, Tomatoes, Basil Pesto, and Peppercorn Caesar Dressing.|
Mesquite|35.961246|-78.959579|Quiznos|Chicken, Smoky Bacon, All-Natural Cheddar, Lettuce, Tomatoes, Onions, Buttermilk Ranch Dressing.|
Baja|35.961246|-78.959579|Quiznos|Chicken, Smoky Bacon, All-Natural Cheddar, Onions, Baja Sauce, Chipotle Mayo.|
Carbonara|35.961246|-78.959579|Quiznos|Chicken, Smoky Bacon, All-Natural Mozzarella, Sautéed Mushrooms, Parmesan Alfredo Sauce|
Honey Mustard|35.968686|-78.902756|Church's Chicken|Everyone loves honey mustard on chicken. That’s because it’s sweet and tangy and pretty awesome.|
Basil Pesto Turkey|35.961246|-78.959579|Quiznos|Turkey with mozzarella, Italian cheese, lettuce, tomatoes, mayo, basil pesto|
Chipotle Turkey|35.961246|-78.959579|Quiznos|Turkey with cheddar, lettuce, tomatoes, onions, and chipotle mayo|
Turkey Bacon Guacamole|35.961246|-78.959579|Quiznos|Turkey, bacon, guacamole, mozzarella, lettuce, tomatoes, onions, Ranch Dressing.|
Turkey Ranch & Swiss|35.961246|-78.959579|Quiznos|Turkey Breast, Swiss, Lettuce, Tomatoes, Onions, Ranch Dressing.|
Ultimate Club|35.880705|-78.849392|Tropical Smoothie Café|Ham, Turkey, Bacon, Swiss, Parmesan, Tomatoes, Field Greens & Chipotle Mayonnaise on a Toasted Ciabatta|
Chicken Caesar|35.880705|-78.849392|Tropical Smoothie Café|Grilled chicken, romaine, parmesan, tomatoes & caesar dressing.|
Apple Harvest Chicken|35.961246|-78.959579|Quiznos|Honey-Dijon Chicken Salad, Apples, Dried Cranberries, Cucumbers, Tomatoes, Pumpkin Seeds..|
Soup of the Day|35.961246|-78.959579|Quiznos|Soups vary from location to location.|
Chocolate Chunk Cookie|35.961246|-78.959579|Quiznos||
Chocolate Fudge Brownie|35.961246|-78.959579|Quiznos||
Cinnamon Sugar Cookie|35.961246|-78.959579|Quiznos||
Chicken Pesto|35.880705|-78.849392|Tropical Smoothie Café|Chicken, Low-Fat Mozzarella, Parmesan, Tomatoes & Pesto on a Toasted Flatbread|
Mac & Cheese|35.90099|-78.89107|Captain D's|Classic home-style macaroni and cheese prepared with delicate Cheddar cheese sauce and tender noodles.|
Mac & Cheese with Bacon|35.961246|-78.959579|Quiznos|Romano, parmesan, provolone and fontina cheeses, bacon, breadcrumbs|
Meatball Marinara|36.010251|-78.922001|Subway|A SUBWAY® Restaurants favorite, now one of our May Featured Values. Enjoy Italian style meatballs drenched in irresistible marinara sauce, served on freshly baked bread.|
Southern BBQ Pulled Pork|35.961246|-78.959579|Quiznos|Slow-roasted pulled pork, mozzarella & cheddar cheese, pickles, yellow mustard and our signature BBQ sauce|
Spicy BBQ Pulled Pork|35.961246|-78.959579|Quiznos|Slow-roasted pulled pork, smoky bacon, aged cheddar, cilantro-jalapeno slaw and our signature BBQ sauce on jalapeno cheddar bread|
Kids Ham & Cheese|35.961246|-78.959579|Quiznos|Ham, Choice of Cheese, Dressing Veggies|
Kids Turkey & Cheese|35.961246|-78.959579|Quiznos|Turkey, Choice of Cheese, Dressing, Veggies. Served on your choice of Artisan Breads: Whole Grain Flatbread, White, Wheat, Rosemary Parmesan or Garlic Focaccia.|
Triple Play Cheese Melt|35.961246|-78.959579|Quiznos|Mozzarella, Cheddar, Swiss. Create Your Own Option Available for Flatbread Foldables|
Breakfast Biscuits|35.961246|-78.959579|Quiznos||
Breakfast Flatbreads|35.961246|-78.959579|Quiznos||
Breakfast Subs|35.961246|-78.959579|Quiznos||
Doritos® Cheesy Gordita Crunch|35.91945|-78.95617|Taco Bell||
Nacho Cheese Doritos® Locos Taco Supreme|35.91945|-78.95617|Taco Bell|A Taco Supreme® made with premium seasoned beef,crisp lettuce, diced juicy red ripe tomatoes, real cheddar cheese and topped with cool reduced-fat sour cream, in a shell made from Nacho Cheese Doritos® Chips.|
Nacho Cheese Doritos® Locos Taco|35.91945|-78.95617|Taco Bell|A crunchy taco made with premium seasoned beef, crisp lettuce, and real cheddar cheese, in a shell made from Nacho Cheese Doritos® Chips.|
Fiery Doritos® Locos Taco Supreme|35.91945|-78.95617|Taco Bell|A Taco Supreme® made with premium seasoned beef, crisp lettuce, diced juicy red ripe tomatoes, real cheddar cheese and topped with cool reduced-fat sour cream, in a shell inspired from a regional spicy Doritos® Chip seasoned with spices and lime.|
Fiery Doritos® Locos Taco|35.91945|-78.95617|Taco Bell|A crunchy taco made with premium seasoned beef, crisp lettuce and real cheddar cheese in a shell inspired from a regional spicy Doritos® Chip seasoned with spices and lime.|
Cool Ranch® Doritos® Locos Taco Supreme|35.91945|-78.95617|Taco Bell|A Taco Supreme® made with premium seasoned beef,crisp lettuce, diced juicy red ripe tomatoes, real cheddar cheese and topped with cool reduced-fat sour cream, in a shell made from Cool Ranch® Doritos® Chips.|
Cool Ranch® Doritos® Locos Tacos|35.91945|-78.95617|Taco Bell|A crunchy taco made with premium seasoned beef, crisp lettuce, and real cheddar cheese, in a shell made from Cool Ranch® Doritos® Chips.|
Crunchy Taco|35.91945|-78.95617|Taco Bell|A crunchy, corn taco shell filled with seasoned beef, crisp shredded lettuce, and real cheddar cheese.|
Crunchy Taco Supreme®|35.91945|-78.95617|Taco Bell|A crunchy, corn taco shell filled with seasoned beef, reduced-fat sour cream, crisp shredded lettuce, real cheddar cheese, and diced ripe tomatoes.|
Soft Taco|35.91945|-78.95617|Taco Bell||
Soft Taco Supreme®|35.91945|-78.95617|Taco Bell|A warm, soft flour tortilla filled with seasoned beef, reduced-fat sour cream, crisp shredded lettuce, real cheddar cheese, and diced ripe tomatoes.|
Chicken Soft Taco|35.91945|-78.95617|Taco Bell|A warm, soft flour tortilla filled with marinated all-white-meat chicken, topped with crisp lettuce and real cheddar cheese.|
Grilled Steak Soft Taco|35.91945|-78.95617|Taco Bell|A warm, soft flour tortilla filled with marinated premium thick cut steak, real cheddar cheese, crisp shredded lettuce, diced ripe tomatoes, and avocado ranch sauce.|
Double Decker® Taco|35.91945|-78.95617|Taco Bell|A warm, soft flour tortilla spread with hearty beans and wrapped around a crunchy, corn taco shell filled with seasoned beef, crisp shredded lettuce, and real cheddar cheese.|
Double Decker® Taco Supreme®|35.91945|-78.95617|Taco Bell|A warm, soft flour tortilla spread with hearty beans and wrapped around a crunchy corn taco shell filled with seasoned beef, real cheddar cheese, crisp shredded lettuce, diced ripe tomatoes and reduced-fat sour cream.|
Cheesy Gordita Crunch|35.91945|-78.95617|Taco Bell||
Quesarito|35.91945|-78.95617|Taco Bell|The NEW Quesarito is the best of a quesadilla and burrito rolled into one! It’s filled with seasoned beef, premium Latin rice, Chipotle sauce, reduced-fat sour cream, and then wrapped up in a grilled quesadilla loaded with melted cheeses.|
Burrito Supreme® - Beef|35.91945|-78.95617|Taco Bell|A warm, soft flour tortilla wrapped around seasoned beef, hearty beans, tangy red sauce, crisp shredded lettuce, real cheddar cheese, diced onions, diced ripe tomatoes, and reduced-fat sour cream.|
XXL Grilled Stuft Burrito|35.91945|-78.95617|Taco Bell|The xxl grilled stuft burrito is our biggest burrito yet, stuft full of our seasoned beef, chicken or steak, a three cheese blend, premium latin rice, hearty beans, reduced-fat sour cream, chunky guacamole, avocado ranch and pico de gallo, wrapped up in a warm flour tortilla.|
Smothered Burrito - Shredded Chicken|35.91945|-78.95617|Taco Bell|Our new Smothered Burrito is filled with shredded chicken, premium Latin rice, hearty beans, and creamy chipotle sauce. Then it’s smothered with red sauce, loads of melted cheeses and topped with reduced-fat sour cream. Available with seasoned beef or marinated premium thick-cut steak.|
Cantina Power Burrito - Steak|35.91945|-78.95617|Taco Bell|Experience how High Protein meets BIG Flavor! Marinated and grilled thick cut steak, crisp romaine lettuce, guacamole made from real Hass avocados, pico de gallo prepared fresh daily, flavorful avocado ranch dressing, real cheddar cheese, and cool reduced-fat sour cream, all wrapped in a warm flour tortilla. Also available in Chicken or Veggie.|
Bean Burrito|35.91945|-78.95617|Taco Bell|A warm, soft, flour tortilla wrapped around hearty beans, real cheddar cheese, tangy red sauce and diced onions.|
7-Layer Burrito|35.91945|-78.95617|Taco Bell|A warm, soft flour tortilla wrapped around premium Latin rice, hearty beans, a three cheese blend, crisp shredded lettuce, diced ripe tomatoes, reduced-fat sour cream, and chunky guacamole.|
Beefy 5-Layer Burrito|35.91945|-78.95617|Taco Bell|Layers of seasoned beef, beans, real cheddar cheese and cool reduced-fat sour cream all wrapped in a flour tortilla with a special layer of warm nacho cheese sauce.|
Shredded Chicken Burrito|35.91945|-78.95617|Taco Bell||
Cheesy Potato Burrito|35.91945|-78.95617|Taco Bell|A warm, soft flour tortilla loaded with a double portion** of seasoned beef and filled with crispy potato bites, warm nacho cheese sauce, and reduced-fat sour cream.|
Combo Burrito|35.91945|-78.95617|Taco Bell|A warm, soft flour tortilla loaded with a double portion** of seasoned beef filled with hearty beans, onions, real cheddar cheese, and tangy red sauce.|
Black Bean Burrito|35.91945|-78.95617|Taco Bell|Enjoy premium Latin rice, flavorful black beans, a savory three-cheese blend, topped with tangy red sauce, all wrapped in a warm flour tortilla.|
Beefy Nacho Griller|35.91945|-78.95617|Taco Bell||
Chipotle Chicken Loaded Griller|35.91945|-78.95617|Taco Bell||
Loaded Potato Griller|35.91945|-78.95617|Taco Bell||
Doritos® Cheesy Gordita Crunch - Fiery|35.91945|-78.95617|Taco Bell|Warm, pillowy flatbread covered in a melted three-cheese blend, wrapped around a Doritos® Fiery taco and topped with a zesty Pepper Jack sauce.|
Doritos® Cheesy Gordita Crunch - Nacho Cheese|35.91945|-78.95617|Taco Bell|Warm, pillowy flatbread covered in a melted three-cheese blend, wrapped around a Doritos® taco and topped with a zesty Pepper Jack sauce.|
Gordita Supreme®|35.91945|-78.95617|Taco Bell|Warm, pillowy flatbread filled with seasoned beef, reduced-fat sour cream, crisp shredded lettuce, a three cheese blend and diced ripe tomatoes.|
Fiesta Taco Salad - Chicken|35.91945|-78.95617|Taco Bell|A crispy tortilla bowl filled with marinated all-white-meat chicken, and loaded with chunky beans, real cheddar cheese, premium Latin rice, crisp shredded lettuce, diced ripe tomatoes, red tortilla strips, reduced-fat sour cream and served with citrus salsa on the side.|
Fiesta Taco Salad - Beef|35.91945|-78.95617|Taco Bell|A crispy tortilla bowl filled with seasoned beef, premium Latin rice, real cheddar cheese, hearty beans, crisp shredded lettuce, diced ripe tomatoes, red tortilla strips and reduced-fat sour cream. Citrus salsa served on the side.|
Fiesta Taco Salad - Steak|35.91945|-78.95617|Taco Bell|A crispy tortilla bowl filled with marinated premium thick cut steak, and loaded with chunky beans, real cheddar cheese, premium Latin rice, crisp shredded lettuce, diced ripe tomatoes, red tortilla strips, reduced-fat sour cream and served with citrus salsa on the side.|
Nachos BellGrande®|35.91945|-78.95617|Taco Bell|A large platter of crisp, freshly prepared daily tortilla chips covered with hearty beans, seasoned beef, warm nacho cheese sauce, diced ripe tomatoes, and reduced-fat sour cream.|
Triple Layer Nachos|35.91945|-78.95617|Taco Bell|Freshly prepared, crisp tortilla chips, hearty beans covered in warm nacho cheese sauce and topped with a tangy red sauce.|
Nachos Supreme|35.91945|-78.95617|Taco Bell||
Chalupa Supreme®|35.91945|-78.95617|Taco Bell|A crispy, chewy chalupa shell filled with seasoned beef, reduced-fat sour cream, crisp shredded lettuce, a three cheese blend and diced ripe tomatoes.|
Bacon Club Chalupa|35.91945|-78.95617|Taco Bell|The Bacon Club Chalupa is back! Crispy bacon over juicy grilled chicken in a chewy chalupa shell with avocado ranch sauce, crisp lettuce, ripe tomatoes, and three cheese blend.|
Mtn Dew® Baja Blast Freeze|35.91945|-78.95617|Taco Bell|The Mtn Dew® Baja BlastTM Freeze is a refreshing frozen soft drink with the flavor and energy of Mtn Dew® and a blast of tropical lime.|
Dr. Pepper Vanilla Float Freeze|35.91945|-78.95617|Taco Bell|Experience a truly one-of-a-kind taste with the new Dr Pepper® Vanilla Float Freeze. Only available at Taco Bell.|
Mtn Dew® Kickstart Black Cherry Freeze|35.91945|-78.95617|Taco Bell|The Mtn Dew® Kickstart Black Cherry Freeze is an invigorating mixture of Dew and sweet cherry flavors all blended smooth with ice.|
Diet Mtn Dew® Baja Blast|35.91945|-78.95617|Taco Bell||
Manzanita Sol|35.91945|-78.95617|Taco Bell||
Mtn Dew® Sangrita Blast|35.91945|-78.95617|Taco Bell||
SoBe Lifewater Yumberry Pomegranate|35.91945|-78.95617|Taco Bell||
